kind	dataset	backbone	seed	delta_coarse	delta_fine	alpha	batch_budget	experiment	sbatch
scale	tinyimagenet	resnet18	5	0.80	0.60	0.70	50	MSTC_C080_F060_A070_5_50b	scale_tin_r18_c080_f060_s5_b050.sbatch
budget	cifar100	resnet18	1	0.70	0.50	0.70	100	MSTC_C070_F050_A070_1_100b	budget_c100_r18_c070_f050_s1_b100.sbatch
budget	cifar100	resnet18	2	0.70	0.50	0.70	100	MSTC_C070_F050_A070_2_100b	budget_c100_r18_c070_f050_s2_b100.sbatch
budget	cifar100	resnet18	3	0.70	0.50	0.70	100	MSTC_C070_F050_A070_3_100b	budget_c100_r18_c070_f050_s3_b100.sbatch
budget	cifar100	resnet18	4	0.70	0.50	0.70	100	MSTC_C070_F050_A070_4_100b	budget_c100_r18_c070_f050_s4_b100.sbatch
budget	cifar100	resnet18	5	0.70	0.50	0.70	100	MSTC_C070_F050_A070_5_100b	budget_c100_r18_c070_f050_s5_b100.sbatch
budget	cifar100	resnet18	1	0.70	0.50	0.70	500	MSTC_C070_F050_A070_1_500b	budget_c100_r18_c070_f050_s1_b500.sbatch
budget	cifar100	resnet18	2	0.70	0.50	0.70	500	MSTC_C070_F050_A070_2_500b	budget_c100_r18_c070_f050_s2_b500.sbatch
budget	cifar100	resnet18	3	0.70	0.50	0.70	500	MSTC_C070_F050_A070_3_500b	budget_c100_r18_c070_f050_s3_b500.sbatch
budget	cifar100	resnet18	4	0.70	0.50	0.70	500	MSTC_C070_F050_A070_4_500b	budget_c100_r18_c070_f050_s4_b500.sbatch
budget	cifar100	resnet18	5	0.70	0.50	0.70	500	MSTC_C070_F050_A070_5_500b	budget_c100_r18_c070_f050_s5_b500.sbatch
